Success, Time Elapsed,Xstart,Ystart, Xend,Yend,Xlength, Ylength, PathDist, num threads, Filename,,,Threads,Run time(sec)
1,4.111,0,0,43,47,100,100,63.7024,1,maps/100map.bmp,,,,
1,261.687,0,0,923,644,1000,1000,1125.46,1,maps/1000Geometric.bmp,,,,
1,1.31,0,0,21,31,50,50,37.4433,1,maps/cross50.bmp,,,,
1,0.657,0,0,9,29,50,50,30.3645,1,maps/50map.bmp,,,,
1,1.101,0,0,21,34,50,50,39.9625,1,maps/50mapAOR.bmp,,,,
1,253.62,0,0,711,167,1000,1000,730.349,1,maps/1000AOR_wObs.bmp,,,,
1,3.916,0,0,29,65,100,100,71.1758,1,maps/100map.bmp,,,,
1,287.973,0,0,318,420,1000,1000,526.805,1,maps/1000Geometric.bmp,,,,
1,1.314,0,0,21,39,50,50,44.2945,1,maps/cross50.bmp,,,,
1,0.912,0,0,25,5,50,50,25.4951,1,maps/50map.bmp,,,,
1,1.069,0,0,24,17,50,50,29.4109,1,maps/50mapAOR.bmp,,,,
1,253.853,0,0,578,281,1000,1000,642.686,1,maps/1000AOR_wObs.bmp,,,,
1,4.458,0,0,23,96,100,100,98.7168,1,maps/100map.bmp,,,,
1,260.923,0,0,963,605,1000,1000,1137.27,1,maps/1000Geometric.bmp,,,,
1,1.169,0,0,27,11,50,50,29.1548,1,maps/cross50.bmp,,,,
1,0.658,0,0,26,9,50,50,27.5136,1,maps/50map.bmp,,,,
1,0.845,0,0,24,20,50,50,31.241,1,maps/50mapAOR.bmp,,,,
1,254.231,0,0,721,230,1000,1000,756.797,1,maps/1000AOR_wObs.bmp,,,,
1,4.264,0,0,10,50,100,100,50.9902,1,maps/100map.bmp,,,,
1,373.704,0,0,653,1,1000,1000,653.001,1,maps/1000Geometric.bmp,,,,
1,1.173,0,0,38,14,50,50,40.4969,1,maps/cross50.bmp,,,,
1,0.864,0,0,35,4,50,50,35.2278,1,maps/50map.bmp,,,,
1,0.981,0,0,16,35,50,50,38.4838,1,maps/50mapAOR.bmp,,,,
1,277.27,0,0,609,934,1000,1000,1115.01,1,maps/1000AOR_wObs.bmp,,,,
1,4.186,0,0,61,47,100,100,77.0065,1,maps/100map.bmp,,,,
1,238.148,0,0,28,596,1000,1000,596.657,1,maps/1000Geometric.bmp,,,,
1,1.197,0,0,8,48,50,50,48.6621,1,maps/cross50.bmp,,,,
1,0.672,0,0,48,11,50,50,49.2443,1,maps/50map.bmp,,,,
1,1.093,0,0,35,37,50,50,50.9313,1,maps/50mapAOR.bmp,,,,
1,245.276,0,0,59,952,1000,1000,953.827,1,maps/1000AOR_wObs.bmp,,,,
1,5.11,0,0,68,53,100,100,86.2148,1,maps/100map.bmp,,,,
1,240.822,0,0,42,871,1000,1000,872.012,1,maps/1000Geometric.bmp,,,,
1,1.198,0,0,3,46,50,50,46.0977,1,maps/cross50.bmp,,,,
1,0.678,0,0,26,33,50,50,42.0119,1,maps/50map.bmp,,,,
1,1.14,0,0,36,35,50,50,50.2096,1,maps/50mapAOR.bmp,,,,
1,254.083,0,0,831,189,1000,1000,852.222,1,maps/1000AOR_wObs.bmp,,,,
1,5.377,0,0,80,39,100,100,89,1,maps/100map.bmp,,,,
1,296.441,0,0,416,617,1000,1000,744.14,1,maps/1000Geometric.bmp,,,,
1,1.178,0,0,32,9,50,50,33.2415,1,maps/cross50.bmp,,,,
1,0.708,0,0,14,41,50,50,43.3244,1,maps/50map.bmp,,,,
1,1.085,0,0,21,17,50,50,27.0185,1,maps/50mapAOR.bmp,,,,
1,249.238,0,0,198,864,1000,1000,886.397,1,maps/1000AOR_wObs.bmp,,,,
1,4.385,0,0,48,20,100,100,52,1,maps/100map.bmp,,,,
1,290.3,0,0,339,616,1000,1000,703.119,1,maps/1000Geometric.bmp,,,,
1,1.218,0,0,47,43,50,50,63.7024,1,maps/cross50.bmp,,,,
1,0.681,0,0,46,19,50,50,49.7695,1,maps/50map.bmp,,,,
1,1.085,0,0,21,28,50,50,35,1,maps/50mapAOR.bmp,,,,
1,254.688,0,0,942,131,1000,1000,951.065,1,maps/1000AOR_wObs.bmp,,,,
1,4.125,0,0,41,56,100,100,69.4046,1,maps/100map.bmp,,,,
1,261.677,0,0,983,554,1000,1000,1128.36,1,maps/1000Geometric.bmp,,,,
1,1.173,0,0,35,6,50,50,35.5106,1,maps/cross50.bmp,,,,
1,0.944,0,0,33,36,50,50,48.8365,1,maps/50map.bmp,,,,
1,0.957,0,0,26,12,50,50,28.6356,1,maps/50mapAOR.bmp,,,,
1,260.022,0,0,698,822,1000,1000,1078.37,1,maps/1000AOR_wObs.bmp,,,,
1,4.505,0,0,12,88,100,100,88.8144,1,maps/100map.bmp,,,,
1,263.113,0,0,999,674,1000,1000,1205.1,1,maps/1000Geometric.bmp,,,,
1,1.192,0,0,8,36,50,50,36.8782,1,maps/cross50.bmp,,,,
1,0.67,0,0,28,6,50,50,28.6356,1,maps/50map.bmp,,,,
1,1.093,0,0,18,31,50,50,35.8469,1,maps/50mapAOR.bmp,,,,
1,254.339,0,0,875,120,1000,1000,883.19,1,maps/1000AOR_wObs.bmp,,,,
1,2.958,0,0,51,96,100,100,108.706,1,maps/100map.bmp,,,,
1,260.489,0,0,943,756,1000,1000,1208.63,1,maps/1000Geometric.bmp,,,,
1,1.187,0,0,31,13,50,50,33.6155,1,maps/cross50.bmp,,,,
1,0.68,0,0,47,36,50,50,59.203,1,maps/50map.bmp,,,,
1,0.953,0,0,33,23,50,50,40.2244,1,maps/50mapAOR.bmp,,,,
1,238.561,0,0,695,490,1000,1000,850.368,1,maps/1000AOR_wObs.bmp,,,,
1,4.566,0,0,6,90,100,100,90.1998,1,maps/100map.bmp,,,,
1,340.517,0,0,667,303,1000,1000,732.597,1,maps/1000Geometric.bmp,,,,
1,1.22,0,0,42,39,50,50,57.3149,1,maps/cross50.bmp,,,,
1,0.683,0,0,39,22,50,50,44.7772,1,maps/50map.bmp,,,,
1,1.095,0,0,33,25,50,50,41.4005,1,maps/50mapAOR.bmp,,,,
1,254.098,0,0,784,215,1000,1000,812.946,1,maps/1000AOR_wObs.bmp,,,,
1,3.659,0,0,47,24,100,100,52.7731,1,maps/100map.bmp,,,,
1,238.999,0,0,35,806,1000,1000,806.76,1,maps/1000Geometric.bmp,,,,
1,1.18,0,0,8,24,50,50,25.2982,1,maps/cross50.bmp,,,,
1,0.672,0,0,36,20,50,50,41.1825,1,maps/50map.bmp,,,,
1,1.013,0,0,17,36,50,50,39.8121,1,maps/50mapAOR.bmp,,,,
1,249.045,0,0,188,884,1000,1000,903.77,1,maps/1000AOR_wObs.bmp,,,,
1,4.134,0,0,28,59,100,100,65.307,1,maps/100map.bmp,,,,
1,375.738,0,0,679,8,1000,1000,679.047,1,maps/1000Geometric.bmp,,,,
1,1.717,0,0,31,38,50,50,49.0408,1,maps/cross50.bmp,,,,
1,0.674,0,0,47,1,50,50,47.0106,1,maps/50map.bmp,,,,
1,1.102,0,0,10,29,50,50,30.6757,1,maps/50mapAOR.bmp,,,,
1,240.052,0,0,709,649,1000,1000,961.188,1,maps/1000AOR_wObs.bmp,,,,
1,3.7,0,0,60,12,100,100,61.1882,1,maps/100map.bmp,,,,
1,292.678,0,0,416,433,1000,1000,600.454,1,maps/1000Geometric.bmp,,,,
1,1.179,0,0,42,0,50,50,42,1,maps/cross50.bmp,,,,
1,0.672,0,0,41,3,50,50,41.1096,1,maps/50map.bmp,,,,
1,1.082,0,0,30,15,50,50,33.541,1,maps/50mapAOR.bmp,,,,
1,263.946,0,0,939,217,1000,1000,963.748,1,maps/1000AOR_wObs.bmp,,,,
1,2.329,0,0,64,96,100,100,115.378,1,maps/100map.bmp,,,,
1,296.183,0,0,479,712,1000,1000,858.129,1,maps/1000Geometric.bmp,,,,
1,1.442,0,0,31,49,50,50,57.9828,1,maps/cross50.bmp,,,,
1,0.686,0,0,27,37,50,50,45.8039,1,maps/50map.bmp,,,,
1,1.086,0,0,27,17,50,50,31.9061,1,maps/50mapAOR.bmp,,,,
1,254.21,0,0,721,196,1000,1000,747.166,1,maps/1000AOR_wObs.bmp,,,,
1,3.096,0,0,52,83,100,100,97.9439,1,maps/100map.bmp,,,,
1,262.187,0,0,993,952,1000,1000,1375.63,1,maps/1000Geometric.bmp,,,,
1,1.234,0,0,10,38,50,50,39.2938,1,maps/cross50.bmp,,,,
1,0.706,0,0,5,43,50,50,43.2897,1,maps/50map.bmp,,,,
1,1.096,0,0,22,27,50,50,34.8281,1,maps/50mapAOR.bmp,,,,
1,254.537,0,0,763,212,1000,1000,791.905,1,maps/1000AOR_wObs.bmp,,,,
1,4.206,0,0,62,49,100,100,79.0253,1,maps/100map.bmp,,,,
1,323.226,0,0,771,409,1000,1000,872.767,1,maps/1000Geometric.bmp,,,,
1,1.215,0,0,46,37,50,50,59.0339,1,maps/cross50.bmp,,,,
1,0.689,0,0,48,17,50,50,50.9215,1,maps/50map.bmp,,,,
1,1.146,0,0,9,38,50,50,39.0512,1,maps/50mapAOR.bmp,,,,
1,259.513,0,0,696,846,1000,1000,1095.51,1,maps/1000AOR_wObs.bmp,,,,
1,4.55,0,0,9,83,100,100,83.4865,1,maps/100map.bmp,,,,
1,263.952,0,0,861,975,1000,1000,1300.75,1,maps/1000Geometric.bmp,,,,
1,1.363,0,0,24,42,50,50,48.3735,1,maps/cross50.bmp,,,,
1,0.687,0,0,19,43,50,50,47.0106,1,maps/50map.bmp,,,,
1,1.101,0,0,26,30,50,50,39.6989,1,maps/50mapAOR.bmp,,,,
1,251.517,0,0,262,951,1000,1000,986.43,1,maps/1000AOR_wObs.bmp,,,,
1,3.73,0,0,75,91,100,100,117.924,1,maps/100map.bmp,,,,
1,289.621,0,0,394,556,1000,1000,681.448,1,maps/1000Geometric.bmp,,,,
1,1.476,0,0,34,47,50,50,58.0086,1,maps/cross50.bmp,,,,
1,0.687,0,0,35,25,50,50,43.0116,1,maps/50map.bmp,,,,
1,1.106,0,0,22,33,50,50,39.6611,1,maps/50mapAOR.bmp,,,,
1,263.802,0,0,949,229,1000,1000,976.239,1,maps/1000AOR_wObs.bmp,,,,
1,3.044,0,0,67,68,100,100,95.462,1,maps/100map.bmp,,,,
1,293.883,0,0,167,876,1000,1000,891.776,1,maps/1000Geometric.bmp,,,,
1,1.228,0,0,43,21,50,50,47.8539,1,maps/cross50.bmp,,,,
1,0.692,0,0,25,28,50,50,37.5366,1,maps/50map.bmp,,,,
1,1.102,0,0,20,31,50,50,36.8917,1,maps/50mapAOR.bmp,,,,
1,244.197,0,0,89,736,1000,1000,741.362,1,maps/1000AOR_wObs.bmp,,,,
1,4.137,0,0,49,46,100,100,67.2086,1,maps/100map.bmp,,,,
1,291.622,0,0,189,673,1000,1000,699.035,1,maps/1000Geometric.bmp,,,,
1,1.209,0,0,42,16,50,50,44.9444,1,maps/cross50.bmp,,,,
1,0.678,0,0,28,8,50,50,29.1204,1,maps/50map.bmp,,,,
1,1.109,0,0,29,12,50,50,31.3847,1,maps/50mapAOR.bmp,,,,
1,252.845,0,0,879,155,1000,1000,892.561,1,maps/1000AOR_wObs.bmp,,,,
1,4.705,0,0,86,40,100,100,94.8472,1,maps/100map.bmp,,,,
1,261.258,0,0,989,443,1000,1000,1083.68,1,maps/1000Geometric.bmp,,,,
1,1.181,0,0,26,0,50,50,26,1,maps/cross50.bmp,,,,
1,0.672,0,0,23,14,50,50,26.9258,1,maps/50map.bmp,,,,
1,1.033,0,0,36,40,50,50,53.8145,1,maps/50mapAOR.bmp,,,,
1,253.787,0,0,928,96,1000,1000,932.952,1,maps/1000AOR_wObs.bmp,,,,
1,4.29,0,0,58,92,100,100,108.757,1,maps/100map.bmp,,,,
1,272.121,0,0,844,129,1000,1000,853.801,1,maps/1000Geometric.bmp,,,,
1,1.231,0,0,10,30,50,50,31.6228,1,maps/cross50.bmp,,,,
1,0.671,0,0,27,2,50,50,27.074,1,maps/50map.bmp,,,,
1,1.078,0,0,30,24,50,50,38.4187,1,maps/50mapAOR.bmp,,,,
1,250.213,0,0,123,949,1000,1000,956.938,1,maps/1000AOR_wObs.bmp,,,,
1,4.505,0,0,20,73,100,100,75.6902,1,maps/100map.bmp,,,,
1,292.52,0,0,189,685,1000,1000,710.596,1,maps/1000Geometric.bmp,,,,
1,1.253,0,0,2,34,50,50,34.0588,1,maps/cross50.bmp,,,,
1,1.301,0,0,31,11,50,50,32.8938,1,maps/50map.bmp,,,,
1,0.745,0,0,26,21,50,50,33.4215,1,maps/50mapAOR.bmp,,,,
1,266.724,0,0,695,743,1000,1000,1017.39,1,maps/1000AOR_wObs.bmp,,,,
1,3.024,0,0,49,33,100,100,59.0762,1,maps/100map.bmp,,,,
1,360.202,0,0,535,362,1000,1000,645.964,1,maps/1000Geometric.bmp,,,,
1,1.366,0,0,22,49,50,50,53.7122,1,maps/cross50.bmp,,,,
1,0.688,0,0,6,36,50,50,36.4966,1,maps/50map.bmp,,,,
1,1.094,0,0,28,17,50,50,32.7567,1,maps/50mapAOR.bmp,,,,
1,287.872,0,0,947,835,1000,1000,1262.55,1,maps/1000AOR_wObs.bmp,,,,
1,4.574,0,0,8,95,100,100,95.3362,1,maps/100map.bmp,,,,
1,275.653,0,0,931,152,1000,1000,943.327,1,maps/1000Geometric.bmp,,,,
1,1.209,0,0,36,19,50,50,40.7063,1,maps/cross50.bmp,,,,
