Success, Time Elapsed,Xstart,Ystart, Xend,Yend,Xlength, Ylength, PathDist, num threads, Filename
1,3.266,0,0,2,38,50,50,38.0526,8,maps/cross50.bmp
1,4.821,0,0,48,4,50,50,48.1664,8,maps/50map.bmp
1,2.273,0,0,13,34,50,50,36.4005,8,maps/50mapAOR.bmp
1,1121.49,0,0,625,840,1000,1000,1047.01,8,maps/1000AOR_wObs.bmp
1,8.22,0,0,18,57,100,100,59.7746,8,maps/100map.bmp
1,1119.25,0,0,636,129,1000,1000,648.951,8,maps/1000Geometric.bmp
1,2.259,0,0,43,34,50,50,54.8179,8,maps/cross50.bmp
1,1.156,0,0,48,3,50,50,48.0937,8,maps/50map.bmp
1,5.391,0,0,32,14,50,50,34.9285,8,maps/50mapAOR.bmp
1,1135.57,0,0,855,267,1000,1000,895.72,8,maps/1000AOR_wObs.bmp
1,11.955,0,0,52,34,100,100,62.1289,8,maps/100map.bmp
1,1247.9,0,0,510,120,1000,1000,523.927,8,maps/1000Geometric.bmp
1,2.14,0,0,33,11,50,50,34.7851,8,maps/cross50.bmp
1,2.698,0,0,38,36,50,50,52.345,8,maps/50map.bmp
1,2.705,0,0,36,36,50,50,50.9117,8,maps/50mapAOR.bmp
1,1149.71,0,0,923,614,1000,1000,1108.57,8,maps/1000AOR_wObs.bmp
1,11.906,0,0,20,47,100,100,51.0784,8,maps/100map.bmp
1,1214.16,0,0,257,659,1000,1000,707.34,8,maps/1000Geometric.bmp
1,2.189,0,0,2,42,50,50,42.0476,8,maps/cross50.bmp
1,2.017,0,0,10,29,50,50,30.6757,8,maps/50map.bmp
1,1.918,0,0,15,29,50,50,32.6497,8,maps/50mapAOR.bmp
1,1086.96,0,0,425,913,1000,1000,1007.07,8,maps/1000AOR_wObs.bmp
1,12.382,0,0,2,95,100,100,95.0211,8,maps/100map.bmp
1,1330.53,0,0,685,283,1000,1000,741.157,8,maps/1000Geometric.bmp
1,2.28,0,0,25,18,50,50,30.8058,8,maps/cross50.bmp
1,2.584,0,0,41,27,50,50,49.0918,8,maps/50map.bmp
1,2.641,0,0,38,24,50,50,44.9444,8,maps/50mapAOR.bmp
1,1048.77,0,0,663,856,1000,1000,1082.73,8,maps/1000AOR_wObs.bmp
1,15.842,0,0,18,80,100,100,82,8,maps/100map.bmp
1,1222.41,0,0,195,482,1000,1000,519.951,8,maps/1000Geometric.bmp
1,2.328,0,0,15,34,50,50,37.1618,8,maps/cross50.bmp
1,2.312,0,0,19,46,50,50,49.7695,8,maps/50map.bmp
1,2.357,0,0,20,18,50,50,26.9072,8,maps/50mapAOR.bmp
1,1175.35,0,0,696,418,1000,1000,811.874,8,maps/1000AOR_wObs.bmp
1,5.56,0,0,49,49,100,100,69.2965,8,maps/100map.bmp
1,1470.97,0,0,537,406,1000,1000,673.205,8,maps/1000Geometric.bmp
1,6.753,0,0,40,22,50,50,45.6508,8,maps/cross50.bmp
1,4.382,0,0,34,5,50,50,34.3657,8,maps/50map.bmp
1,3.649,0,0,38,34,50,50,50.9902,8,maps/50mapAOR.bmp
1,1169.36,0,0,891,928,1000,1000,1286.49,8,maps/1000AOR_wObs.bmp
1,14.175,0,0,85,41,100,100,94.3716,8,maps/100map.bmp
1,1303.78,0,0,976,617,1000,1000,1154.67,8,maps/1000Geometric.bmp
1,24.202,0,0,27,33,50,50,42.638,8,maps/cross50.bmp
1,39.612,0,0,42,8,50,50,42.7551,8,maps/50map.bmp
1,37.436,0,0,9,32,50,50,33.2415,8,maps/50mapAOR.bmp
1,1447.87,0,0,653,103,1000,1000,661.073,8,maps/1000AOR_wObs.bmp
1,200.698,0,0,42,30,100,100,51.614,8,maps/100map.bmp
1,1889.91,0,0,575,244,1000,1000,624.629,8,maps/1000Geometric.bmp
1,19.066,0,0,29,0,50,50,29,8,maps/cross50.bmp
1,3.954,0,0,33,40,50,50,51.8556,8,maps/50map.bmp
1,2.356,0,0,29,25,50,50,38.2884,8,maps/50mapAOR.bmp
1,1182.8,0,0,656,822,1000,1000,1051.67,8,maps/1000AOR_wObs.bmp
1,7.661,0,0,59,58,100,100,82.7345,8,maps/100map.bmp
1,1889.55,0,0,183,804,1000,1000,824.564,8,maps/1000Geometric.bmp
1,5.607,0,0,40,4,50,50,40.1995,8,maps/cross50.bmp
1,1.894,0,0,41,2,50,50,41.0488,8,maps/50map.bmp
1,1.631,0,0,31,36,50,50,47.5079,8,maps/50mapAOR.bmp
1,944.651,0,0,165,885,1000,1000,900.25,8,maps/1000AOR_wObs.bmp
1,13.078,0,0,26,73,100,100,77.4919,8,maps/100map.bmp
1,1167.99,0,0,783,125,1000,1000,792.915,8,maps/1000Geometric.bmp
1,7.175,0,0,43,48,50,50,64.4438,8,maps/cross50.bmp
1,2.127,0,0,38,18,50,50,42.0476,8,maps/50map.bmp
1,6.448,0,0,19,33,50,50,38.0789,8,maps/50mapAOR.bmp
1,1123.11,0,0,219,877,1000,1000,903.93,8,maps/1000AOR_wObs.bmp
1,13.796,0,0,44,63,100,100,76.844,8,maps/100map.bmp
1,1333.44,0,0,210,469,1000,1000,513.869,8,maps/1000Geometric.bmp
1,9.542,0,0,31,3,50,50,31.1448,8,maps/cross50.bmp
1,4.002,0,0,46,13,50,50,47.8017,8,maps/50map.bmp
1,2.661,0,0,20,40,50,50,44.7214,8,maps/50mapAOR.bmp
1,1204.87,0,0,710,727,1000,1000,1016.18,8,maps/1000AOR_wObs.bmp
1,9.93,0,0,35,44,100,100,56.2228,8,maps/100map.bmp
1,1234.54,0,0,412,538,1000,1000,677.634,8,maps/1000Geometric.bmp
1,2.415,0,0,26,34,50,50,42.8019,8,maps/cross50.bmp
1,2.123,0,0,28,15,50,50,31.7648,8,maps/50map.bmp
1,2.322,0,0,26,30,50,50,39.6989,8,maps/50mapAOR.bmp
1,1234.83,0,0,166,853,1000,1000,869.002,8,maps/1000AOR_wObs.bmp
1,9.955,0,0,33,68,100,100,75.5844,8,maps/100map.bmp
1,1209.15,0,0,340,467,1000,1000,577.658,8,maps/1000Geometric.bmp
1,2.087,0,0,39,19,50,50,43.382,8,maps/cross50.bmp
1,2.104,0,0,37,35,50,50,50.9313,8,maps/50map.bmp
1,2.125,0,0,30,16,50,50,34,8,maps/50mapAOR.bmp
1,1202.68,0,0,658,271,1000,1000,711.621,8,maps/1000AOR_wObs.bmp
1,12.585,0,0,24,88,100,100,91.214,8,maps/100map.bmp
1,1284.21,0,0,431,713,1000,1000,833.145,8,maps/1000Geometric.bmp
1,1.466,0,0,18,34,50,50,38.4708,8,maps/cross50.bmp
1,5.907,0,0,9,32,50,50,33.2415,8,maps/50map.bmp
1,6.917,0,0,25,17,50,50,30.2324,8,maps/50mapAOR.bmp
1,1186.72,0,0,285,931,1000,1000,973.646,8,maps/1000AOR_wObs.bmp
1,8.319,0,0,92,44,100,100,101.98,8,maps/100map.bmp
1,1219.75,0,0,373,454,1000,1000,587.576,8,maps/1000Geometric.bmp
1,2.451,0,0,5,44,50,50,44.2832,8,maps/cross50.bmp
1,2.156,0,0,22,15,50,50,26.6271,8,maps/50map.bmp
1,2.086,0,0,29,22,50,50,36.4005,8,maps/50mapAOR.bmp
1,1120.91,0,0,930,902,1000,1000,1295.57,8,maps/1000AOR_wObs.bmp
1,10.69,0,0,97,43,100,100,106.104,8,maps/100map.bmp
1,1390.21,0,0,634,268,1000,1000,688.317,8,maps/1000Geometric.bmp
1,2.521,0,0,32,49,50,50,58.5235,8,maps/cross50.bmp
1,1.83,0,0,29,1,50,50,29.0172,8,maps/50map.bmp
1,3.529,0,0,36,37,50,50,51.6236,8,maps/50mapAOR.bmp
1,960.85,0,0,812,235,1000,1000,845.322,8,maps/1000AOR_wObs.bmp
1,8.263,0,0,76,38,100,100,84.9706,8,maps/100map.bmp
1,1910.43,0,0,417,531,1000,1000,675.167,8,maps/1000Geometric.bmp
1,2.025,0,0,46,2,50,50,46.0435,8,maps/cross50.bmp
1,1.858,0,0,48,15,50,50,50.2892,8,maps/50map.bmp
1,1.81,0,0,24,19,50,50,30.6105,8,maps/50mapAOR.bmp
1,1115.87,0,0,701,484,1000,1000,851.855,8,maps/1000AOR_wObs.bmp
1,13.114,0,0,52,97,100,100,110.059,8,maps/100map.bmp
1,1090.01,0,0,303,484,1000,1000,571.021,8,maps/1000Geometric.bmp
1,2.551,0,0,45,37,50,50,58.258,8,maps/cross50.bmp
1,3.984,0,0,11,46,50,50,47.2969,8,maps/50map.bmp
1,2.891,0,0,25,31,50,50,39.8246,8,maps/50mapAOR.bmp
1,1032.98,0,0,943,624,1000,1000,1130.76,8,maps/1000AOR_wObs.bmp
1,9.027,0,0,51,87,100,100,100.846,8,maps/100map.bmp
1,1030.94,0,0,950,734,1000,1000,1200.52,8,maps/1000Geometric.bmp
1,2.47,0,0,15,44,50,50,46.4866,8,maps/cross50.bmp
1,1.38,0,0,29,17,50,50,33.6155,8,maps/50map.bmp
1,3.886,0,0,19,19,50,50,26.8701,8,maps/50mapAOR.bmp
1,1084.52,0,0,716,714,1000,1000,1011.16,8,maps/1000AOR_wObs.bmp
1,6.015,0,0,13,49,100,100,50.6952,8,maps/100map.bmp
1,1404.73,0,0,869,9,1000,1000,869.047,8,maps/1000Geometric.bmp
1,2.116,0,0,12,33,50,50,35.1141,8,maps/cross50.bmp
1,2.506,0,0,7,33,50,50,33.7343,8,maps/50map.bmp
1,2.179,0,0,21,18,50,50,27.6586,8,maps/50mapAOR.bmp
1,1096.88,0,0,737,388,1000,1000,832.894,8,maps/1000AOR_wObs.bmp
1,13.807,0,0,60,70,100,100,92.1954,8,maps/100map.bmp
1,1119.33,0,0,999,614,1000,1000,1172.6,8,maps/1000Geometric.bmp
1,2.751,0,0,11,42,50,50,43.4166,8,maps/cross50.bmp
1,2.049,0,0,34,23,50,50,41.0488,8,maps/50map.bmp
1,2.57,0,0,39,24,50,50,45.793,8,maps/50mapAOR.bmp
1,1151.02,0,0,196,869,1000,1000,890.829,8,maps/1000AOR_wObs.bmp
1,13.855,0,0,91,5,100,100,91.1373,8,maps/100map.bmp
1,1347.91,0,0,931,895,1000,1000,1291.43,8,maps/1000Geometric.bmp
1,3.908,0,0,36,38,50,50,52.345,8,maps/cross50.bmp
1,4.402,0,0,9,40,50,50,41,8,maps/50map.bmp
1,2.357,0,0,16,32,50,50,35.7771,8,maps/50mapAOR.bmp
1,1164.96,0,0,712,404,1000,1000,818.633,8,maps/1000AOR_wObs.bmp
1,10.345,0,0,71,79,100,100,106.217,8,maps/100map.bmp
1,1054.37,0,0,18,759,1000,1000,759.213,8,maps/1000Geometric.bmp
1,2.891,0,0,27,26,50,50,37.4833,8,maps/cross50.bmp
1,2.14,0,0,2,42,50,50,42.0476,8,maps/50map.bmp
1,2.287,0,0,36,15,50,50,39,8,maps/50mapAOR.bmp
1,1121.25,0,0,533,864,1000,1000,1015.18,8,maps/1000AOR_wObs.bmp
1,8.808,0,0,7,96,100,100,96.2549,8,maps/100map.bmp
1,1367.02,0,0,642,605,1000,1000,882.15,8,maps/1000Geometric.bmp
1,2.728,0,0,33,29,50,50,43.9318,8,maps/cross50.bmp
1,2.516,0,0,34,25,50,50,42.2019,8,maps/50map.bmp
1,1.782,0,0,24,17,50,50,29.4109,8,maps/50mapAOR.bmp
1,1100.95,0,0,760,179,1000,1000,780.795,8,maps/1000AOR_wObs.bmp
1,8.774,0,0,13,80,100,100,81.0494,8,maps/100map.bmp
1,1368.8,0,0,982,310,1000,1000,1029.77,8,maps/1000Geometric.bmp
1,62.132,0,0,17,20,50,50,26.2488,8,maps/cross50.bmp
1,14.336,0,0,6,28,50,50,28.6356,8,maps/50map.bmp
1,5.489,0,0,11,24,50,50,26.4008,8,maps/50mapAOR.bmp
1,1091.74,0,0,921,934,1000,1000,1311.72,8,maps/1000AOR_wObs.bmp
1,34.476,0,0,5,56,100,100,56.2228,8,maps/100map.bmp
1,1107.5,0,0,977,782,1000,1000,1251.42,8,maps/1000Geometric.bmp
1,8.806,0,0,46,28,50,50,53.8516,8,maps/cross50.bmp
1,9.79,0,0,32,48,50,50,57.6888,8,maps/50map.bmp
1,9.497,0,0,16,39,50,50,42.1545,8,maps/50mapAOR.bmp
1,1228.96,0,0,718,714,1000,1000,1012.58,8,maps/1000AOR_wObs.bmp
1,36.621,0,0,79,3,100,100,79.0569,8,maps/100map.bmp
1,1135.05,0,0,416,764,1000,1000,869.915,8,maps/1000Geometric.bmp
1,34.146,0,0,21,26,50,50,33.4215,8,maps/cross50.bmp
1,10.115,0,0,26,43,50,50,50.2494,8,maps/50map.bmp
1,9.02,0,0,21,25,50,50,32.6497,8,maps/50mapAOR.bmp
1,974.627,0,0,704,167,1000,1000,723.536,8,maps/1000AOR_wObs.bmp
1,46.316,0,0,84,23,100,100,87.0919,8,maps/100map.bmp
1,1661.03,0,0,231,811,1000,1000,843.257,8,maps/1000Geometric.bmp
1,1.163,0,0,11,49,50,50,50.2195,8,maps/cross50.bmp
1,2.955,0,0,48,34,50,50,58.8218,8,maps/50map.bmp
1,158.077,0,0,13,23,50,50,26.4197,8,maps/50mapAOR.bmp
1,1835.92,0,0,120,806,1000,1000,814.884,8,maps/1000AOR_wObs.bmp
1,8.737,0,0,65,60,100,100,88.459,8,maps/100map.bmp
1,1124.81,0,0,370,547,1000,1000,660.385,8,maps/1000Geometric.bmp
1,1.811,0,0,44,30,50,50,53.2541,8,maps/cross50.bmp
1,1.242,0,0,23,21,50,50,31.1448,8,maps/50map.bmp
1,23.43,0,0,36,17,50,50,39.8121,8,maps/50mapAOR.bmp
1,1607.42,0,0,553,290,1000,1000,624.427,8,maps/1000AOR_wObs.bmp
1,10.368,0,0,90,81,100,100,121.083,8,maps/100map.bmp
1,1128.27,0,0,640,981,1000,1000,1171.31,8,maps/1000Geometric.bmp
1,2.724,0,0,25,37,50,50,44.6542,8,maps/cross50.bmp
1,2.062,0,0,23,11,50,50,25.4951,8,maps/50map.bmp
1,2.047,0,0,9,24,50,50,25.632,8,maps/50mapAOR.bmp
1,996.493,0,0,830,674,1000,1000,1069.19,8,maps/1000AOR_wObs.bmp
1,7.926,0,0,11,89,100,100,89.6772,8,maps/100map.bmp
1,1212.85,0,0,928,705,1000,1000,1165.42,8,maps/1000Geometric.bmp
1,1.32,0,0,26,14,50,50,29.5296,8,maps/cross50.bmp
1,1.807,0,0,32,12,50,50,34.176,8,maps/50map.bmp
1,2.143,0,0,23,20,50,50,30.4795,8,maps/50mapAOR.bmp
1,1115.29,0,0,761,930,1000,1000,1201.67,8,maps/1000AOR_wObs.bmp
1,12.564,0,0,63,77,100,100,99.4887,8,maps/100map.bmp
1,1255.69,0,0,903,227,1000,1000,931.095,8,maps/1000Geometric.bmp
1,2.344,0,0,33,9,50,50,34.2053,8,maps/cross50.bmp
1,1.749,0,0,19,25,50,50,31.4006,8,maps/50map.bmp
1,4.894,0,0,39,12,50,50,40.8044,8,maps/50mapAOR.bmp
1,1129.56,0,0,879,89,1000,1000,883.494,8,maps/1000AOR_wObs.bmp
1,8.321,0,0,93,83,100,100,124.652,8,maps/100map.bmp
1,1245.87,0,0,588,605,1000,1000,843.664,8,maps/1000Geometric.bmp
1,2.498,0,0,13,28,50,50,30.8707,8,maps/cross50.bmp
1,2.184,0,0,20,36,50,50,41.1825,8,maps/50map.bmp
1,2.161,0,0,35,33,50,50,48.1041,8,maps/50mapAOR.bmp
1,1040.1,0,0,722,401,1000,1000,825.884,8,maps/1000AOR_wObs.bmp
1,9.389,0,0,79,78,100,100,111.018,8,maps/100map.bmp
1,1220.87,0,0,213,596,1000,1000,632.918,8,maps/1000Geometric.bmp
1,4.705,0,0,23,33,50,50,40.2244,8,maps/cross50.bmp
1,4.133,0,0,32,14,50,50,34.9285,8,maps/50map.bmp
1,3.28,0,0,37,29,50,50,47.0106,8,maps/50mapAOR.bmp
1,1135.39,0,0,695,751,1000,1000,1023.24,8,maps/1000AOR_wObs.bmp
1,8.74,0,0,74,68,100,100,100.499,8,maps/100map.bmp
1,1243.89,0,0,293,550,1000,1000,623.177,8,maps/1000Geometric.bmp
1,3.36,0,0,13,34,50,50,36.4005,8,maps/cross50.bmp
1,4.45,0,0,2,40,50,50,40.05,8,maps/50map.bmp
